DATE & TIME,ACTUAL WIND(MW),FORECAST WIND(MW),REGION
01/01/2025 00:00,1841,2010,Ireland
01/01/2025 00:15,1910,1973,Ireland
01/01/2025 00:30,1987,1936,Ireland
01/01/2025 00:45,2069,1899,Ireland
01/01/2025 01:00,2072,1862,Ireland
01/01/2025 01:15,1942,1900,Ireland
01/01/2025 01:30,1890,1939,Ireland
01/01/2025 01:45,1878,1977,Ireland
01/01/2025 02:00,1854,2016,Ireland
01/01/2025 02:15,1870,2104,Ireland
01/01/2025 02:30,1834,2193,Ireland
01/01/2025 02:45,1761,2281,Ireland
01/01/2025 03:00,1748,2370,Ireland
01/01/2025 03:15,1740,2349,Ireland
01/01/2025 03:30,1674,2328,Ireland
01/01/2025 03:45,1634,2308,Ireland
01/01/2025 04:00,1583,2287,Ireland
01/01/2025 04:15,1556,2308,Ireland
01/01/2025 04:30,1536,2328,Ireland
01/01/2025 04:45,1492,2349,Ireland
01/01/2025 05:00,1424,2370,Ireland
01/01/2025 05:15,1458,2451,Ireland
01/01/2025 05:30,1514,2531,Ireland
01/01/2025 05:45,1555,2612,Ireland
01/01/2025 06:00,1622,2430,Ireland
01/01/2025 06:15,1786,2457,Ireland
01/01/2025 06:30,1831,2484,Ireland
01/01/2025 06:45,1927,2511,Ireland
01/01/2025 07:00,1914,2537,Ireland
01/01/2025 07:15,1909,2508,Ireland
01/01/2025 07:30,1892,2479,Ireland
01/01/2025 07:45,1852,2450,Ireland
01/01/2025 08:00,1793,2420,Ireland
01/01/2025 08:15,1776,2368,Ireland
01/01/2025 08:30,1672,2316,Ireland
01/01/2025 08:45,1633,2263,Ireland
01/01/2025 09:00,1583,2211,Ireland
01/01/2025 09:15,1555,2130,Ireland
01/01/2025 09:30,1617,2048,Ireland
01/01/2025 09:45,1670,1966,Ireland
01/01/2025 10:00,1752,1885,Ireland
01/01/2025 10:15,1774,1808,Ireland
01/01/2025 10:30,1738,1732,Ireland
01/01/2025 10:45,1620,1656,Ireland
01/01/2025 11:00,1517,1579,Ireland
01/01/2025 11:15,1470,1578,Ireland
01/01/2025 11:30,1438,1576,Ireland
01/01/2025 11:45,1405,1574,Ireland
01/01/2025 12:00,1301,1616,Ireland
01/01/2025 12:15,1173,1614,Ireland
01/01/2025 12:30,1129,1611,Ireland
01/01/2025 12:45,1083,1609,Ireland
01/01/2025 13:00,1014,1607,Ireland
01/01/2025 13:15,962,1587,Ireland
01/01/2025 13:30,902,1568,Ireland
01/01/2025 13:45,874,1549,Ireland
01/01/2025 14:00,817,1530,Ireland
01/01/2025 14:15,845,1496,Ireland
01/01/2025 14:30,866,1461,Ireland
01/01/2025 14:45,873,1427,Ireland
01/01/2025 15:00,877,1393,Ireland
01/01/2025 15:15,859,1359,Ireland
01/01/2025 15:30,821,1326,Ireland
01/01/2025 15:45,901,1292,Ireland
01/01/2025 16:00,945,1258,Ireland
01/01/2025 16:15,888,1223,Ireland
01/01/2025 16:30,938,1188,Ireland
01/01/2025 16:45,972,1152,Ireland
01/01/2025 17:00,1047,1117,Ireland
01/01/2025 17:15,1006,1082,Ireland
01/01/2025 17:30,983,1047,Ireland
01/01/2025 17:45,949,1012,Ireland
01/01/2025 18:00,971,1088,Ireland
01/01/2025 18:15,974,1048,Ireland
01/01/2025 18:30,973,1009,Ireland
01/01/2025 18:45,937,970,Ireland
01/01/2025 19:00,902,930,Ireland
01/01/2025 19:15,856,897,Ireland
01/01/2025 19:30,827,864,Ireland
01/01/2025 19:45,801,830,Ireland
01/01/2025 20:00,773,797,Ireland
01/01/2025 20:15,798,784,Ireland
01/01/2025 20:30,818,770,Ireland
01/01/2025 20:45,782,757,Ireland
01/01/2025 21:00,754,743,Ireland
01/01/2025 21:15,677,738,Ireland
01/01/2025 21:30,672,733,Ireland
01/01/2025 21:45,623,728,Ireland
01/01/2025 22:00,588,722,Ireland
01/01/2025 22:15,625,737,Ireland
01/01/2025 22:30,609,751,Ireland
01/01/2025 22:45,615,766,Ireland
01/01/2025 23:00,630,781,Ireland
01/01/2025 23:15,696,791,Ireland
01/01/2025 23:30,644,802,Ireland
01/01/2025 23:45,680,813,Ireland
02/01/2025 00:00,698,731,Ireland
02/01/2025 00:15,747,737,Ireland
02/01/2025 00:30,793,743,Ireland
02/01/2025 00:45,755,749,Ireland
