DateTime,Fossil Gas [Actual Aggregated] [actual-entsoe],Fossil Hard coal [Actual Aggregated] [actual-entsoe],Fossil Oil [Actual Aggregated] [actual-entsoe],Fossil Peat [Actual Aggregated] [actual-entsoe],Hydro Pumped Storage [Actual Aggregated] [actual-entsoe],Hydro Run-of-river and pondage [Actual Aggregated] [actual-entsoe],Wind Onshore [Actual Aggregated] [actual-entsoe],Other [Actual Aggregated] [actual-entsoe],Fossil Gas [Actual Consumption] [actual-entsoe],Fossil Hard coal [Actual Consumption] [actual-entsoe],Fossil Oil [Actual Consumption] [actual-entsoe],Fossil Peat [Actual Consumption] [actual-entsoe],Hydro Pumped Storage [Actual Consumption] [actual-entsoe],Hydro Run-of-river and pondage [Actual Consumption] [actual-entsoe],Other [Actual Consumption] [actual-entsoe],Solar [Actual Aggregated] [actual-entsoe],Solar [Actual Consumption] [actual-entsoe]
2023-12-31 23:00:00+00:00,402.12,114.1,0.54,42.29,0.0,180.76,2514.23,0.0,4.58,6.64,3.1,0.0,72.15,0.0,0.66,,
2023-12-31 23:30:00+00:00,365.44,104.05,0.54,42.43,0.0,178.56,2297.56,0.0,4.58,6.87,2.8,0.0,73.03,0.0,0.67,,
2024-01-01 00:00:00+00:00,356.76,86.89,0.45,42.22,0.0,178.16,2262.78,0.0,4.58,6.87,2.52,0.0,73.03,0.0,0.66,,
2024-01-01 00:30:00+00:00,409.18,104.96,0.45,43.34,0.0,177.69,2228.26,0.0,4.58,6.87,2.52,0.0,71.78,0.0,0.66,,
2024-01-01 01:00:00+00:00,406.54,104.73,0.45,42.43,0.0,177.28,2128.1,0.0,6.18,6.87,3.19,0.0,71.78,0.0,0.67,,
2024-01-01 01:30:00+00:00,390.55,111.59,0.45,42.43,0.0,177.88,2040.07,0.0,5.92,6.87,3.19,0.0,72.0,0.0,0.65,,
2024-01-01 02:00:00+00:00,378.05,105.88,0.45,42.36,0.0,176.31,1883.13,0.0,5.92,6.87,2.85,0.0,71.86,0.0,0.66,,
2024-01-01 02:30:00+00:00,364.97,120.74,0.45,42.36,0.0,174.34,1778.62,0.0,6.26,6.64,2.85,0.0,72.3,0.0,0.66,,
2024-01-01 03:00:00+00:00,382.32,124.17,0.45,42.36,0.0,177.01,1585.73,0.0,4.58,7.1,2.85,0.0,71.72,0.0,0.66,,
2024-01-01 03:30:00+00:00,375.51,106.11,0.45,42.36,0.0,175.9,1442.57,0.0,4.57,6.87,3.19,0.0,71.78,0.0,0.66,,
2024-01-01 04:00:00+00:00,361.55,109.53,0.45,42.36,0.0,175.02,1290.09,0.0,4.58,6.87,5.2,0.0,71.94,0.0,0.66,,
2024-01-01 04:30:00+00:00,379.43,106.56,0.45,42.36,0.0,176.96,1298.9,0.0,4.58,7.1,11.57,0.0,71.49,0.0,0.66,,
2024-01-01 05:00:00+00:00,376.05,104.28,0.45,42.5,0.0,176.34,1193.29,0.0,4.31,6.87,5.26,0.0,71.42,0.0,0.66,,
2024-01-01 05:30:00+00:00,394.63,104.73,64.51,42.36,0.0,177.44,1086.56,0.0,4.57,6.87,0.16,0.0,70.84,0.0,0.67,,
2024-01-01 06:00:00+00:00,404.9,103.82,141.0,42.22,0.0,178.45,1058.68,0.0,4.58,6.87,0.19,0.0,70.54,0.0,0.66,,
2024-01-01 06:30:00+00:00,485.2,103.82,187.62,42.36,0.0,177.13,973.53,0.0,4.59,6.87,0.19,0.0,70.54,0.0,0.66,,
2024-01-01 07:00:00+00:00,472.37,105.42,306.06,42.36,0.0,178.65,820.68,0.0,4.58,6.64,0.19,0.0,0.0,0.0,0.66,,
2024-01-01 07:30:00+00:00,498.2,106.56,409.38,42.36,0.0,176.5,767.42,0.0,4.58,6.87,0.16,0.0,0.0,0.0,0.66,,
2024-01-01 08:00:00+00:00,483.58,104.96,433.86,42.5,0.0,177.47,731.14,0.0,4.57,7.55,0.19,0.0,0.0,0.0,0.66,,
2024-01-01 08:30:00+00:00,518.03,105.19,418.43,42.36,0.0,177.42,781.7,0.0,4.58,6.87,0.13,0.0,0.0,0.0,0.62,,
2024-01-01 09:00:00+00:00,479.7,100.38,306.4,42.36,0.0,191.98,1023.25,0.0,4.58,7.1,0.13,0.0,0.0,0.0,0.66,,
2024-01-01 09:30:00+00:00,487.32,101.06,249.36,42.5,0.0,194.09,1147.2,0.0,4.58,6.64,0.1,0.0,0.0,0.0,0.66,,
2024-01-01 10:00:00+00:00,451.46,106.33,204.4,42.36,0.0,194.98,1334.59,0.0,4.32,6.87,0.1,0.0,0.0,0.0,0.66,,
2024-01-01 10:30:00+00:00,435.31,103.82,165.82,65.41,89.94,194.46,1484.07,0.0,4.17,6.87,0.1,0.0,0.0,0.0,0.61,,
2024-01-01 11:00:00+00:00,389.14,104.05,163.81,69.04,119.97,194.53,1708.43,0.0,3.78,7.1,0.1,0.0,0.0,0.0,0.66,,
2024-01-01 11:30:00+00:00,423.81,102.89,182.93,74.48,125.91,196.19,1822.42,0.0,4.43,6.87,0.1,0.0,0.0,0.0,0.66,,
2024-01-01 12:00:00+00:00,415.2,101.52,164.81,67.36,117.77,195.16,2091.32,0.0,4.57,6.87,0.1,0.0,0.0,0.0,0.66,,
2024-01-01 12:30:00+00:00,463.49,102.21,179.58,73.44,124.66,196.7,2114.87,0.0,4.17,6.87,0.1,0.0,0.0,0.0,0.66,,
2024-01-01 13:00:00+00:00,527.89,102.89,178.24,73.23,109.28,195.85,2150.46,0.0,4.43,6.87,0.1,0.0,0.0,0.0,0.65,,
2024-01-01 13:30:00+00:00,574.44,101.29,164.81,67.43,49.29,194.8,2277.05,0.0,4.44,6.64,0.1,0.0,0.0,0.0,0.65,,
2024-01-01 14:00:00+00:00,441.21,102.43,163.14,64.85,10.33,193.56,2515.37,0.0,4.43,6.87,0.1,0.0,0.0,0.0,0.66,,
2024-01-01 14:30:00+00:00,362.9,104.05,166.49,40.97,10.25,196.22,2501.21,0.0,4.58,6.87,0.13,0.0,0.0,0.0,0.66,,
2024-01-01 15:00:00+00:00,339.54,101.52,92.01,41.25,16.48,178.08,2634.15,0.0,4.58,6.64,0.1,0.0,0.0,0.0,0.66,,
2024-01-01 15:30:00+00:00,335.32,102.66,0.45,42.86,20.06,176.57,2726.9,0.0,4.57,7.33,5.48,0.0,0.0,0.0,0.66,,
2024-01-01 16:00:00+00:00,501.17,103.59,0.45,43.48,26.07,177.52,2781.62,0.0,4.57,6.87,5.48,0.0,0.0,0.0,0.65,,
2024-01-01 16:30:00+00:00,638.64,104.28,0.45,77.7,135.13,176.47,2721.3,0.0,5.07,6.87,2.46,0.0,0.0,0.0,0.67,,
2024-01-01 17:00:00+00:00,566.94,104.28,0.45,69.18,16.33,180.08,2868.27,0.0,5.58,6.87,3.13,0.0,0.0,0.0,0.61,,
2024-01-01 17:30:00+00:00,600.13,107.02,0.45,69.26,19.84,180.34,2926.7,0.0,4.77,6.41,2.8,0.0,0.0,0.0,0.66,,
2024-01-01 18:00:00+00:00,586.31,104.96,0.45,69.26,22.84,181.09,2915.35,0.0,7.33,6.64,2.76,0.0,0.0,0.0,0.66,,
2024-01-01 18:30:00+00:00,442.32,104.96,0.45,42.02,20.35,194.49,2954.27,0.0,7.18,6.87,3.13,0.0,0.0,0.0,0.66,,
2024-01-01 19:00:00+00:00,372.43,105.65,0.45,0.12,15.38,197.04,2959.82,0.0,6.92,6.64,3.13,6.29,0.0,0.0,0.66,,
2024-01-01 19:30:00+00:00,342.98,106.79,0.45,0.12,136.3,195.98,2801.65,0.0,7.03,6.64,3.13,5.17,0.0,0.0,0.66,,
2024-01-01 20:00:00+00:00,321.73,106.79,0.45,0.12,140.4,196.35,2755.32,0.0,4.77,7.33,2.46,3.62,0.0,0.0,0.65,,
2024-01-01 20:30:00+00:00,319.02,106.79,0.45,0.12,0.0,194.5,2823.9,0.0,6.28,5.95,2.46,3.36,0.66,0.0,0.62,,
2024-01-01 21:00:00+00:00,314.94,105.88,0.45,0.12,0.0,194.06,2674.18,0.0,6.26,6.87,3.13,2.1,0.0,0.0,0.67,,
2024-01-01 21:30:00+00:00,298.6,106.79,0.45,0.12,0.0,192.76,2513.77,0.0,8.11,6.64,3.13,1.12,0.0,0.0,0.62,,
2024-01-01 22:00:00+00:00,328.53,106.11,0.45,0.12,0.0,194.28,2435.51,0.0,6.78,7.1,2.76,1.04,0.0,0.0,0.62,,
2024-01-01 22:30:00+00:00,313.88,111.82,0.45,0.12,0.0,191.96,2417.91,0.0,6.78,6.41,3.16,1.12,0.0,0.0,0.62,,
2024-01-01 23:00:00+00:00,318.13,110.45,0.54,0.12,0.0,179.89,2231.99,0.0,6.7,6.87,2.49,1.12,0.0,0.0,0.65,,
2024-01-01 23:30:00+00:00,313.38,114.79,0.54,0.12,0.0,175.49,2051.91,0.0,6.45,6.87,2.49,1.12,0.0,0.0,0.66,,
2024-01-02 00:00:00+00:00,354.01,115.93,0.54,0.12,0.0,174.37,1862.08,0.0,8.94,7.1,3.19,1.12,0.0,0.0,0.66,,
2024-01-02 00:30:00+00:00,357.78,120.28,0.54,0.12,0.0,175.78,1888.35,0.0,9.04,6.64,3.19,1.12,0.0,0.0,0.66,,
2024-01-02 01:00:00+00:00,350.01,112.5,0.54,0.12,0.0,175.94,1800.96,0.0,8.94,7.1,3.19,1.12,0.0,0.0,0.66,,
2024-01-02 01:30:00+00:00,352.83,116.63,0.54,0.12,0.0,176.92,1580.29,0.0,8.95,6.87,3.19,1.12,0.0,0.0,0.66,,
2024-01-02 02:00:00+00:00,356.55,116.63,0.54,0.12,0.0,176.24,1394.95,0.0,10.8,7.1,5.2,1.12,0.0,0.0,0.66,,
2024-01-02 02:30:00+00:00,360.09,117.31,0.54,0.12,0.0,174.8,1288.81,0.0,4.93,6.87,5.2,1.04,0.0,0.0,0.66,,
2024-01-02 03:00:00+00:00,391.44,112.96,0.54,0.12,0.0,176.7,1144.84,0.0,4.91,7.1,4.86,0.98,0.0,0.0,0.66,,
2024-01-02 03:30:00+00:00,459.97,112.96,0.54,0.12,0.0,175.8,1076.55,0.0,1.11,7.1,5.2,1.12,0.0,0.0,0.66,,
2024-01-02 04:00:00+00:00,485.94,105.88,0.54,0.12,0.0,176.1,1005.49,0.0,0.94,6.64,3.19,1.19,0.0,0.0,0.66,,
2024-01-02 04:30:00+00:00,505.81,100.38,0.54,0.12,0.0,175.79,977.6,0.0,0.96,6.87,2.85,1.19,0.0,0.0,0.66,,
2024-01-02 05:00:00+00:00,651.01,98.55,0.54,0.19,0.0,177.91,880.46,0.0,0.95,6.64,3.25,1.04,0.0,0.0,0.62,,
2024-01-02 05:30:00+00:00,698.65,103.12,0.54,0.19,0.0,177.61,877.89,0.0,0.95,6.18,3.22,1.19,0.0,0.0,0.66,,
2024-01-02 06:00:00+00:00,678.81,101.29,0.54,0.19,0.0,177.38,1004.46,0.0,1.11,6.64,5.23,1.12,0.0,0.0,0.66,,
2024-01-02 06:30:00+00:00,639.1,99.47,0.54,0.19,0.0,177.75,1117.11,0.0,1.11,7.1,4.56,1.19,0.0,0.0,0.66,,
2024-01-02 07:00:00+00:00,724.29,100.61,123.64,0.19,0.0,176.82,1026.12,0.0,1.25,6.87,0.19,1.19,0.0,0.0,0.66,,
2024-01-02 07:30:00+00:00,854.33,102.43,196.78,0.19,0.0,176.77,970.64,0.0,1.11,6.41,0.13,0.98,0.0,0.0,0.66,,
2024-01-02 08:00:00+00:00,981.31,99.24,173.3,0.19,0.0,177.67,997.69,0.0,1.11,6.64,0.19,1.25,0.0,0.0,0.66,,
2024-01-02 08:30:00+00:00,1034.69,100.61,169.59,0.19,0.0,195.02,1074.12,0.0,1.25,6.87,0.13,1.25,0.0,0.0,0.66,,
2024-01-02 09:00:00+00:00,1114.18,100.61,174.31,0.19,0.0,195.53,1114.93,0.0,1.25,6.87,0.13,1.19,0.0,0.0,0.66,,
2024-01-02 09:30:00+00:00,1216.46,108.62,164.23,0.19,0.0,193.65,1147.42,0.0,1.25,6.87,0.13,1.04,0.0,0.0,0.67,,
2024-01-02 10:00:00+00:00,1092.76,98.55,365.53,0.19,0.0,193.82,1289.25,0.0,5.28,7.1,0.13,1.19,0.0,0.0,0.66,,
2024-01-02 10:30:00+00:00,1069.89,138.34,403.78,0.19,0.0,193.55,1452.9,0.0,4.65,6.87,0.13,1.04,0.0,0.0,0.66,,
2024-01-02 11:00:00+00:00,1119.13,104.51,355.79,0.12,0.0,196.17,1575.76,0.0,4.28,6.87,0.13,1.04,73.84,0.0,0.61,,
2024-01-02 11:30:00+00:00,1081.09,105.65,306.82,0.12,0.0,195.16,1720.78,0.0,4.3,6.87,0.13,1.12,0.0,0.0,0.62,,
2024-01-02 12:00:00+00:00,967.93,94.21,167.92,0.12,0.0,196.39,2124.15,0.0,4.3,7.1,0.16,1.04,0.0,0.0,0.62,,
2024-01-02 12:30:00+00:00,1096.68,103.82,225.53,0.12,0.0,195.97,2126.7,0.0,4.15,7.55,0.13,1.04,0.0,0.0,0.62,,
2024-01-02 13:00:00+00:00,1083.79,96.72,331.98,0.12,0.0,194.67,2215.55,0.0,4.49,6.87,0.13,1.12,0.0,0.0,0.66,,
2024-01-02 13:30:00+00:00,1094.07,101.75,295.99,0.12,0.0,196.27,2344.31,0.0,4.31,6.87,0.1,1.04,0.0,0.0,0.67,,
2024-01-02 14:00:00+00:00,1069.46,112.27,220.5,0.12,0.0,195.82,2455.84,0.0,4.31,6.18,0.07,1.12,0.0,0.0,0.66,,
2024-01-02 14:30:00+00:00,1094.1,112.04,241.97,0.12,0.0,178.14,2460.01,0.0,4.32,6.87,0.07,1.19,0.0,0.0,0.66,,
2024-01-02 15:00:00+00:00,1119.3,107.02,308.41,0.12,0.0,178.96,2415.79,0.0,4.31,6.64,0.1,1.04,0.0,0.0,0.66,,
2024-01-02 15:30:00+00:00,1056.14,109.3,326.19,0.12,0.0,176.31,2319.03,0.0,4.32,6.87,0.16,1.04,0.0,0.0,0.62,,
2024-01-02 16:00:00+00:00,962.25,104.28,180.92,0.12,0.0,177.51,2464.42,0.0,4.31,6.64,0.1,1.12,0.0,0.0,0.61,,
2024-01-02 16:30:00+00:00,1090.76,106.56,289.96,0.12,5.27,175.88,2306.19,0.0,4.31,6.64,0.1,1.12,0.0,0.0,0.66,,
