DateTime,Fossil Gas [Actual Aggregated] [actual-entsoe],Fossil Hard coal [Actual Aggregated] [actual-entsoe],Fossil Oil [Actual Aggregated] [actual-entsoe],Fossil Peat [Actual Aggregated] [actual-entsoe],Hydro Pumped Storage [Actual Aggregated] [actual-entsoe],Hydro Run-of-river and pondage [Actual Aggregated] [actual-entsoe],Solar [Actual Aggregated] [actual-entsoe],Wind Onshore [Actual Aggregated] [actual-entsoe],Other [Actual Aggregated] [actual-entsoe],Fossil Gas [Actual Consumption] [actual-entsoe],Fossil Hard coal [Actual Consumption] [actual-entsoe],Fossil Oil [Actual Consumption] [actual-entsoe],Fossil Peat [Actual Consumption] [actual-entsoe],Hydro Pumped Storage [Actual Consumption] [actual-entsoe],Hydro Run-of-river and pondage [Actual Consumption] [actual-entsoe],Solar [Actual Consumption] [actual-entsoe],Other [Actual Consumption] [actual-entsoe]
2024-12-31 23:00:00+00:00,312.39,0.0,164.03,41.06,19.92,92.74,0.0,1793.57,0.0,2.02,8.93,0.1,0.0,0.0,0.0,0.0,0.66
2024-12-31 23:30:00+00:00,319.1,0.0,165.71,41.2,20.94,93.31,0.0,1942.27,0.0,1.73,8.48,0.1,0.0,0.0,0.0,0.0,0.66
2025-01-01 00:00:00+00:00,310.79,0.0,164.37,41.13,19.99,92.79,0.0,1841.0,0.0,1.73,9.16,0.13,0.0,0.0,0.0,0.0,0.65
2025-01-01 00:30:00+00:00,325.19,0.0,173.1,40.78,14.79,93.03,0.0,1987.43,0.0,1.73,8.7,0.13,0.0,0.0,0.0,0.0,0.66
2025-01-01 01:00:00+00:00,314.96,0.0,164.37,41.2,0.0,92.59,0.0,2071.66,0.0,2.02,8.93,0.13,0.0,146.87,0.0,0.0,0.66
2025-01-01 01:30:00+00:00,313.68,0.0,164.37,41.06,0.0,93.73,0.0,1890.32,0.0,2.03,9.16,0.16,0.0,146.72,0.0,0.0,0.66
2025-01-01 02:00:00+00:00,314.59,0.0,164.7,41.06,0.0,93.71,0.0,1854.43,0.0,3.7,9.16,0.16,0.0,145.91,0.0,0.0,0.67
2025-01-01 02:30:00+00:00,309.52,0.0,164.37,41.13,0.0,92.92,0.0,1834.21,0.0,3.7,8.93,0.16,0.0,145.91,0.0,0.0,0.66
2025-01-01 03:00:00+00:00,325.75,0.0,171.43,41.06,0.0,93.23,0.0,1748.26,0.0,3.7,8.7,0.19,0.0,144.16,0.0,0.0,0.65
2025-01-01 03:30:00+00:00,316.87,0.0,164.37,41.2,0.0,93.16,0.0,1673.81,0.0,3.7,8.7,0.19,0.0,143.64,0.0,0.0,0.66
2025-01-01 04:00:00+00:00,316.33,0.0,164.03,41.06,0.0,93.27,0.0,1582.86,0.0,3.7,8.48,0.19,0.0,143.79,0.0,0.0,0.66
2025-01-01 04:30:00+00:00,314.43,0.0,164.37,40.99,0.0,92.59,0.0,1536.36,0.0,3.7,8.48,0.16,0.0,143.64,0.0,0.0,0.66
2025-01-01 05:00:00+00:00,310.58,0.0,164.7,41.13,0.0,92.62,0.0,1424.22,0.0,3.7,8.7,0.16,0.0,143.71,0.0,0.0,0.66
2025-01-01 05:30:00+00:00,311.9,0.0,164.37,40.99,0.0,93.57,0.0,1514.48,0.0,3.41,8.93,0.13,0.0,142.91,0.0,0.0,0.66
2025-01-01 06:00:00+00:00,324.35,0.0,170.06,41.06,0.0,93.65,0.0,1622.29,0.0,3.7,8.7,0.16,0.0,141.37,0.0,0.0,0.66
2025-01-01 06:30:00+00:00,321.97,0.0,168.39,41.34,0.0,93.93,0.0,1831.17,0.0,3.7,8.7,0.16,0.0,140.86,0.0,0.0,0.61
2025-01-01 07:00:00+00:00,315.3,0.0,165.71,41.06,0.0,93.21,0.0,1913.74,0.0,4.03,8.7,0.13,0.0,141.01,0.0,0.0,0.66
2025-01-01 07:30:00+00:00,311.93,0.0,164.37,40.92,0.0,92.56,0.0,1892.05,0.0,4.0,8.48,0.1,0.0,71.35,0.0,0.0,0.66
2025-01-01 08:00:00+00:00,310.42,0.0,164.03,40.99,5.2,92.89,0.0,1793.1,0.0,3.7,8.93,0.16,0.0,0.0,0.0,0.0,0.67
2025-01-01 08:30:00+00:00,317.68,0.0,165.37,41.06,5.12,94.71,0.0,1672.21,0.0,4.08,8.7,0.13,0.0,0.0,0.0,0.0,0.66
2025-01-01 09:00:00+00:00,315.67,0.0,164.37,41.06,5.27,94.2,0.0,1583.04,0.0,4.04,9.16,0.1,0.0,0.0,0.0,0.0,0.66
2025-01-01 09:30:00+00:00,315.32,0.0,164.7,41.06,4.98,105.53,0.0,1617.13,0.0,6.21,8.93,0.07,0.0,0.0,0.0,0.0,0.62
2025-01-01 10:00:00+00:00,322.77,0.0,165.37,41.13,4.98,113.34,0.0,1751.79,0.0,4.08,8.93,0.13,0.0,0.0,0.0,0.0,0.66
2025-01-01 10:30:00+00:00,359.88,0.0,171.07,43.15,6.22,112.89,0.0,1738.01,0.0,4.08,8.93,0.07,0.0,0.0,0.0,0.0,0.66
2025-01-01 11:00:00+00:00,552.92,0.0,166.38,89.03,0.0,125.72,0.0,1516.77,0.0,10.78,8.93,0.13,0.0,0.0,0.0,0.0,0.61
