date,irainfall   Rainfall indicator,Precipitation Amount (mm)  ,ittt Dry bulb indicator,Air Temperature (C),iwb Wet bulb indicator,Wet Bulb Temperature ©,Dew Point Temperature ©,Vapour Pressure (hPa)    , Relative Humidity (%) ,Mean Sea Level Pressure (hPa),itabspeed wind Speed indicator,Mean Wind Speed (kt),itabdir  wind dir indicator,Predominant Wind Direction (deg),Weekday,Mean Wind Speed (km/h)
01/01/2024 00:00,0,0.135,0,6.325,0,5.085,3.385,7.81,81.4,996.295,2,14.22222222,2,272.7777778,1,26.33955556
01/01/2024 01:00,0,0.115,0,6.235,0,4.905,3.055,7.615,80.1,996.89,2,12.38888889,2,268.3333333,1,22.94422222
01/01/2024 02:00,0,0.095,0,5.885,0,4.53,2.57,7.365,79.1,997.195,2,11.72222222,2,263.8888889,1,21.70955556
01/01/2024 03:00,0,0.16,0,5.57,0,4.35,2.61,7.405,81.3,997.58,2,11,2,252.2222222,1,20.372
01/01/2024 04:00,0,0.19,0,5.245,0,4.055,2.31,7.23,81.3,997.81,2,10.27777778,2,246.1111111,1,19.03444444
01/01/2024 05:00,0,0.05,0,5.075,0,3.945,2.305,7.235,82.2,997.835,2,8.944444444,2,232.7777778,1,16.56511111
01/01/2024 06:00,0,0.06,0,4.95,0,3.85,2.26,7.215,82.7,997.815,2,8.722222222,2,219.4444444,1,16.15355556
01/01/2024 07:00,0,0.025,0,4.695,0,3.71,2.275,7.245,84.3,997.65,2,8,2,215.5555556,1,14.816
01/01/2024 08:00,0,0.065,0,4.395,0,3.53,2.23,7.225,85.7,997.435,2,7,2,208.8888889,1,12.964
01/01/2024 09:00,0,0.095,0,4.075,0,3.4,2.4,7.365,88.65,997.095,2,6.555555556,2,176.6666667,1,12.14088889
01/01/2024 10:00,0,0.135,0,4.38,0,3.8,2.93,7.665,89.95,996.265,2,7.055555556,2,152.7777778,1,13.06688889
01/01/2024 11:00,0,0.245,0,5.385,0,4.765,3.875,8.185,89.9,995.235,2,8.277777778,2,144.4444444,1,15.33044444
01/01/2024 12:00,0,0.17,0,6.09,0,5.46,4.62,8.64,90.15,993.43,2,9.166666667,2,140,1,16.97666667
01/01/2024 13:00,0,0.49,0,6.425,0,5.94,5.285,9.03,92.15,991.335,2,11.16666667,2,137.2222222,1,20.68066667
01/01/2024 14:00,0,1.365,0,6.69,0,6.3,5.78,9.335,93.55,988.785,2,12.27777778,2,131.6666667,1,22.73844444
01/01/2024 15:00,0,1.45,0,7.195,0,6.82,6.345,9.7,93.95,986.5,2,13.5,2,134.4444444,1,25.002
01/01/2024 16:00,0,1.735,0,7.62,0,7.275,6.82,10.03,94.35,984.3,2,13.55555556,2,137.7777778,1,25.10488889
01/01/2024 17:00,0,1.84,0,7.99,0,7.645,7.2,10.295,94.4,982.5,2,13.44444444,2,139.4444444,1,24.89911111
01/01/2024 18:00,0,1.715,0,8.485,0,8.115,7.73,10.65,94.6,981.295,2,12.77777778,2,146.1111111,1,23.66444444
01/01/2024 19:00,0,0.76,0,8.925,0,8.445,7.91,10.735,92.95,980.66,2,12.61111111,2,171.1111111,1,23.35577778
01/01/2024 20:00,0,0.35,0,9.385,0,8.71,8.01,10.785,90.8,980.73,2,13,2,196.1111111,1,24.076
01/01/2024 21:00,0,0.195,0,9.87,0,9.06,8.19,10.9,89.1,981.105,2,14.33333333,2,211.1111111,1,26.54533333
01/01/2024 22:00,0,0.1,0,9.915,0,9.03,8.1,10.82,88.15,981.53,2,15.22222222,2,221.6666667,1,28.19155556
01/01/2024 23:00,0,0.13,0,10.03,0,9.05,7.975,10.745,86.75,981.81,2,14.77777778,2,229.4444444,1,27.36844444
02/01/2024 00:00,0,0.04,0,9.945,0,8.895,7.75,10.57,85.7,982.055,2,14.66666667,2,227.7777778,1,27.16266667
02/01/2024 01:00,0,0.06,0,9.91,0,8.9,7.775,10.6,86.25,982.11,2,14.55555556,2,223.3333333,1,26.95688889
02/01/2024 02:00,0,0.025,0,9.775,0,8.805,7.75,10.59,86.75,981.925,2,13.55555556,2,219.4444444,1,25.10488889
02/01/2024 03:00,0,0.05,0,9.695,0,8.8,7.835,10.64,88.05,981.46,2,12,2,216.1111111,1,22.224
02/01/2024 04:00,0,0.295,0,9.625,0,8.86,8.01,10.78,89.4,980.97,2,11.11111111,2,210.5555556,1,20.57777778
02/01/2024 05:00,0,0.2,0,9.6,0,8.91,8.15,10.875,90.25,980.08,2,10.5,2,207.7777778,1,19.446
02/01/2024 06:00,0,0.145,0,9.455,0,8.81,8.095,10.815,90.9,979.425,2,9.722222222,2,203.3333333,1,18.00555556
02/01/2024 07:00,0,0.315,0,9.285,0,8.71,8.025,10.775,91.6,978.955,2,8.555555556,2,199.4444444,1,15.84488889
02/01/2024 08:00,0,0.43,0,9.07,0,8.56,7.985,10.725,92.55,978.57,2,7.611111111,2,195,1,14.09577778
02/01/2024 09:00,0,0.48,0,9.02,0,8.505,7.96,10.71,92.7,978.295,2,6.944444444,2,211.1111111,1,12.86111111
02/01/2024 10:00,0,0.425,0,8.975,0,8.505,8.01,10.75,93.35,978.22,2,7.055555556,2,212.7777778,1,13.06688889
02/01/2024 11:00,0,0.47,0,9.1,0,8.555,7.945,10.695,92.1,978.43,2,8.277777778,2,221.6666667,1,15.33044444
02/01/2024 12:00,0,0.535,0,9.235,0,8.625,7.935,10.695,91.35,978.525,2,9.833333333,2,231.6666667,1,18.21133333
02/01/2024 13:00,0,0.625,0,9.265,0,8.53,7.71,10.525,89.75,978.73,2,10.44444444,2,237.7777778,1,19.34311111
02/01/2024 14:00,0,0.4,0,9.135,0,8.375,7.54,10.41,89.5,979.01,2,11.27777778,2,244.4444444,1,20.88644444
02/01/2024 15:00,0,0.565,0,9.07,0,8.245,7.335,10.26,88.55,979.4,2,11.22222222,2,241.1111111,1,20.78355556
02/01/2024 16:00,0,0.215,0,8.8,0,7.985,7.055,10.07,88.55,980.045,2,11.61111111,2,242.7777778,1,21.50377778
02/01/2024 17:00,0,0.2,0,8.435,0,7.735,6.92,9.97,89.95,980.645,2,10.55555556,2,240.5555556,1,19.54888889
02/01/2024 18:00,0,0.075,0,8.185,0,7.56,6.83,9.92,90.75,981.125,2,9.722222222,2,237.2222222,1,18.00555556
02/01/2024 19:00,0,0.275,0,7.93,0,7.33,6.625,9.775,91.15,981.395,2,8.777777778,2,226.6666667,1,16.25644444
02/01/2024 20:00,0,0.085,0,7.705,0,7.165,6.535,9.72,92.05,981.605,2,8.5,2,221.1111111,1,15.742
02/01/2024 21:00,0,0.1,0,7.675,0,7.145,6.55,9.73,92.2,981.685,2,8.333333333,2,217.7777778,1,15.43333333
02/01/2024 22:00,0,0.14,0,7.38,0,6.9,6.305,9.58,92.5,981.695,2,8.777777778,2,212.7777778,1,16.25644444
02/01/2024 23:00,0,0.065,0,7.29,0,6.81,6.22,9.515,92.55,981.745,2,8.388888889,2,207.7777778,1,15.53622222
03/01/2024 00:00,0,0.21,0,7.185,0,6.71,6.14,9.465,92.55,982.125,2,8.111111111,2,216.1111111,0,15.02177778
03/01/2024 01:00,0,0.14,0,7.1,0,6.665,6.135,9.46,93.25,982.195,2,7,2,216.6666667,0,12.964
03/01/2024 02:00,0,0.11,0,7.14,0,6.7,6.19,9.495,93.3,982.33,2,7.166666667,2,202.7777778,0,13.27266667
03/01/2024 03:00,0,0.085,0,7.215,0,6.755,6.21,9.51,93.1,982.615,2,7.111111111,2,217.7777778,0,13.16977778
03/01/2024 04:00,0,0.125,0,6.985,0,6.555,6.055,9.405,93.6,982.82,2,6.666666667,2,222.7777778,0,12.34666667
03/01/2024 05:00,0,0.09,0,7.005,0,6.58,6.095,9.43,93.75,983.27,2,6.5,2,220,0,12.038
03/01/2024 06:00,0,0.12,0,7.025,0,6.655,6.22,9.505,94.3,983.945,2,6.666666667,2,227.7777778,0,12.34666667
03/01/2024 07:00,0,0.095,0,6.92,0,6.58,6.19,9.51,94.85,984.645,2,6.5,2,227.7777778,0,12.038
03/01/2024 08:00,0,0.15,0,6.805,0,6.48,6.11,9.435,94.95,985.55,2,6.666666667,2,236.6666667,0,12.34666667
03/01/2024 09:00,0,0.115,0,6.665,0,6.32,5.87,9.28,94.35,986.49,2,6.666666667,2,238.3333333,0,12.34666667
03/01/2024 10:00,0,0.03,0,7.13,0,6.735,6.27,9.535,93.85,987.275,2,7.388888889,2,252.2222222,0,13.68422222
03/01/2024 11:00,0,0.045,0,7.865,0,7.395,6.825,9.905,92.9,988.32,2,7.888888889,2,249.4444444,0,14.61022222
03/01/2024 12:00,0,0.075,0,8.455,0,7.84,7.13,10.115,91,988.965,2,8.666666667,2,251.1111111,0,16.05066667
03/01/2024 13:00,0,0.135,0,8.97,0,8.17,7.26,10.21,88.75,989.37,2,9.666666667,2,257.7777778,0,17.90266667
03/01/2024 14:00,0,0.165,0,9.005,0,8.07,6.995,10.02,86.95,989.83,2,10.33333333,2,261.6666667,0,19.13733333
03/01/2024 15:00,0,0.17,0,8.84,0,7.895,6.835,9.91,87.1,990.475,2,10.44444444,2,255,0,19.34311111
03/01/2024 16:00,0,0.1,0,8.38,0,7.555,6.595,9.755,88.15,991.215,2,10.27777778,2,250.5555556,0,19.03444444
03/01/2024 17:00,0,0.12,0,7.92,0,7.155,6.265,9.54,88.95,992.195,2,10.11111111,2,248.3333333,0,18.72577778
03/01/2024 18:00,0,0.125,0,7.72,0,6.985,6.09,9.415,89.2,993.02,2,9.611111111,2,245,0,17.79977778
03/01/2024 19:00,0,0.065,0,7.68,0,6.955,6.04,9.4,89.15,993.775,2,10.5,2,243.3333333,0,19.446
03/01/2024 20:00,0,0.04,0,7.62,0,6.845,5.875,9.29,88.5,994.48,2,10.61111111,2,244.4444444,0,19.65177778
03/01/2024 21:00,0,0.075,0,7.495,0,6.735,5.81,9.255,88.8,995.055,2,10.66666667,2,241.6666667,0,19.75466667
03/01/2024 22:00,0,0.135,0,7.43,0,6.6,5.575,9.105,87.85,995.615,2,10.61111111,2,245,0,19.65177778
03/01/2024 23:00,0,0.125,0,7.405,0,6.535,5.46,9.025,87.4,995.95,2,10.5,2,239.4444444,0,19.446
04/01/2024 00:00,0,0.32,0,7.195,0,6.375,5.335,8.95,87.8,996.37,2,11,2,245,0,20.372
04/01/2024 01:00,0,0.105,0,7.185,0,6.25,5.04,8.775,86.15,996.665,2,11,2,247.7777778,0,20.372
04/01/2024 02:00,0,0.185,0,6.72,0,5.875,4.78,8.63,87.35,996.975,2,10.11111111,2,247.2222222,0,18.72577778
04/01/2024 03:00,0,0.09,0,6.465,0,5.63,4.51,8.47,87.15,997.385,2,9.388888889,2,231.1111111,0,17.38822222
04/01/2024 04:00,0,0.135,0,6.225,0,5.31,4.115,8.225,86.2,997.67,2,8.833333333,2,242.2222222,0,16.35933333
04/01/2024 05:00,0,0.08,0,5.835,0,5.02,3.935,8.14,87.45,997.71,2,8.611111111,2,225,0,15.94777778
04/01/2024 06:00,0,0.115,0,5.42,0,4.63,3.565,7.92,87.6,997.73,2,8,2,230.5555556,0,14.816
04/01/2024 07:00,0,0.08,0,5,0,4.275,3.275,7.775,88.4,998.035,2,7.5,2,232.2222222,0,13.89
