DateTime,Forecasted Load [forecast-entsoe],Actual Load [actual-entsoe],Wind Onshore [forecast-entsoe],Fossil Gas [Actual Aggregated] [actual-entsoe],Fossil Hard coal [Actual Aggregated] [actual-entsoe],Fossil Oil [Actual Aggregated] [actual-entsoe],Fossil Peat [Actual Aggregated] [actual-entsoe],Hydro Pumped Storage [Actual Aggregated] [actual-entsoe],Hydro Run-of-river and pondage [Actual Aggregated] [actual-entsoe],Wind Onshore [Actual Aggregated] [actual-entsoe],Other [Actual Aggregated] [actual-entsoe],Fossil Gas [Actual Consumption] [actual-entsoe],Fossil Hard coal [Actual Consumption] [actual-entsoe],Fossil Oil [Actual Consumption] [actual-entsoe],Fossil Peat [Actual Consumption] [actual-entsoe],Hydro Pumped Storage [Actual Consumption] [actual-entsoe],Hydro Run-of-river and pondage [Actual Consumption] [actual-entsoe],Other [Actual Consumption] [actual-entsoe],Solar [Actual Aggregated] [actual-entsoe],Solar [Actual Consumption] [actual-entsoe],ACTUAL WIND(MW),FORECAST WIND(MW),irainfall   Rainfall indicator,Precipitation Amount (mm)  ,ittt Dry bulb indicator,Air Temperature (C),iwb Wet bulb indicator,Wet Bulb Temperature ©,Dew Point Temperature ©,Vapour Pressure (hPa)    , Relative Humidity (%) ,Mean Sea Level Pressure (hPa),itabspeed wind Speed indicator,Mean Wind Speed (kt),itabdir  wind dir indicator,Predominant Wind Direction (deg),Weekday,Mean Wind Speed (km/h)
2024-01-01 00:00:00+00:00,3828.0,3437.865,2777.415,382.97,95.925,0.45,42.78,0.0,177.925,2245.5200000000004,0.0,4.58,6.87,2.52,0.0,72.405,0.0,0.66,,,2214.5,2746.25,0,0.135,0,6.325,0,5.085,3.385,7.81,81.4,996.295,2,14.22222222,2.0,272.7777778,1,26.33955556
2024-01-01 01:00:00+00:00,3739.5,3295.3450000000003,2525.49,398.545,108.16,0.45,42.43,0.0,177.57999999999998,2084.085,0.0,6.05,6.87,3.19,0.0,71.89,0.0,0.66,,,2055.0,2492.5,0,0.115,0,6.235,0,4.905,3.055,7.615,80.1,996.89,2,12.38888889,2.0,268.3333333,1,22.94422222
2024-01-01 02:00:00+00:00,3636.5,3165.5550000000003,2250.055,371.51,113.31,0.45,42.36,0.0,175.325,1830.875,0.0,6.09,6.755,2.85,0.0,72.08,0.0,0.66,,,1796.25,2210.5,0,0.095,0,5.885,0,4.53,2.57,7.365,79.1,997.195,2,11.72222222,2.0,263.8888889,1,21.70955556
2024-01-01 03:00:00+00:00,3562.5,3050.325,1900.4,378.91499999999996,115.14,0.45,42.36,0.0,176.45499999999998,1514.15,0.0,4.575,6.984999999999999,3.02,0.0,71.75,0.0,0.66,,,1466.5,1843.75,0,0.16,0,5.57,0,4.35,2.61,7.405,81.3,997.58,2,11.0,2.0,252.2222222,1,20.372
2024-01-01 04:00:00+00:00,3518.5,2941.29,1487.925,370.49,108.045,0.45,42.36,0.0,175.99,1294.495,0.0,4.58,6.984999999999999,8.385,0.0,71.715,0.0,0.66,,,1290.0,1451.5,0,0.19,0,5.245,0,4.055,2.31,7.23,81.3,997.81,2,10.27777778,2.0,246.1111111,1,19.03444444
2024-01-01 05:00:00+00:00,3553.0,2917.4,1225.365,385.34000000000003,104.505,32.480000000000004,42.43,0.0,176.89,1139.925,0.0,4.4399999999999995,6.87,2.71,0.0,71.13,0.0,0.665,,,1113.75,1203.5,0,0.05,0,5.075,0,3.945,2.305,7.235,82.2,997.835,2,8.944444444,2.0,232.7777778,1,16.56511111
2024-01-01 06:00:00+00:00,3673.5,2981.4,885.555,445.04999999999995,103.82,164.31,42.29,0.0,177.79,1016.105,0.0,4.585,6.87,0.19,0.0,70.54,0.0,0.66,,,975.5,879.0,0,0.06,0,4.95,0,3.85,2.26,7.215,82.7,997.815,2,8.722222222,2.0,219.4444444,1,16.15355556
2024-01-01 07:00:00+00:00,3749.5,3076.58,830.695,485.28499999999997,105.99000000000001,357.72,42.36,0.0,177.575,794.05,0.0,4.58,6.755,0.175,0.0,0.0,0.0,0.66,,,801.5,823.0,0,0.025,0,4.695,0,3.71,2.275,7.245,84.3,997.65,2,8.0,2.0,215.5555556,1,14.816
2024-01-01 08:00:00+00:00,3781.0,3133.66,803.795,500.80499999999995,105.07499999999999,426.145,42.43,0.0,177.445,756.4200000000001,0.0,4.575,7.21,0.16,0.0,0.0,0.0,0.64,,,776.75,813.75,0,0.065,0,4.395,0,3.53,2.23,7.225,85.7,997.435,2,7.0,2.0,208.8888889,1,12.964
2024-01-01 09:00:00+00:00,3861.5,3267.395,915.93,483.51,100.72,277.88,42.43,0.0,193.035,1085.225,0.0,4.58,6.869999999999999,0.115,0.0,0.0,0.0,0.66,,,1139.0,942.5,0,0.095,0,4.075,0,3.4,2.4,7.365,88.65,997.095,2,6.555555556,2.0,176.6666667,1,12.14088889
