DateTime,MapCode,ActualGenerationOutput,ProductionType
2026-01-01 00:00:00,GB,0,Solar
2026-01-01 00:00:00,GB,11071.023,Wind Offshore
2026-01-01 00:00:00,GB,6017.083,Wind Onshore
2026-01-01 00:30:00,GB,0,Solar
2026-01-01 00:30:00,GB,11041.1,Wind Offshore
2026-01-01 00:30:00,GB,5991.606,Wind Onshore
2026-01-28 05:00:00,IE,0,Fossil Hard coal
2026-01-01 00:00:00,GB,188.502,Fossil Gas
2026-01-01 00:30:00,GB,187.913,Fossil Gas
2026-01-01 01:00:00,GB,181.3,Fossil Gas
2026-01-01 01:30:00,GB,178.345,Fossil Gas
2026-01-01 02:00:00,GB,185.472,Fossil Gas
2026-01-01 02:30:00,GB,183.194,Fossil Gas
2026-01-01 03:00:00,GB,182.964,Fossil Gas
2026-01-01 03:30:00,GB,184.602,Fossil Gas
2026-01-01 04:00:00,GB,186.884,Fossil Gas
2026-01-01 04:30:00,GB,188.8,Fossil Gas
2026-01-01 05:00:00,GB,192.561,Fossil Gas
2026-01-01 05:30:00,GB,188.555,Fossil Gas
2026-01-01 06:00:00,GB,191.417,Fossil Gas
2026-01-01 06:30:00,GB,190.461,Fossil Gas
2026-01-01 07:00:00,GB,189.602,Fossil Gas
2026-01-01 07:30:00,GB,193.815,Fossil Gas
2026-01-01 08:00:00,GB,193.165,Fossil Gas
2026-01-01 08:30:00,GB,193.903,Fossil Gas
2026-01-01 09:00:00,GB,193.866,Fossil Gas
2026-01-01 09:30:00,GB,190.075,Fossil Gas
2026-01-01 10:00:00,GB,183.268,Fossil Gas
2026-01-01 10:30:00,GB,191.357,Fossil Gas
2026-01-01 11:00:00,GB,195.757,Fossil Gas
2026-01-01 11:30:00,GB,190.707,Fossil Gas
2026-01-01 12:00:00,GB,190.186,Fossil Gas
2026-01-01 12:30:00,GB,187.758,Fossil Gas
2026-01-01 13:00:00,GB,184.013,Fossil Gas
2026-01-01 13:30:00,GB,188.25,Fossil Gas
2026-01-01 14:00:00,GB,188.776,Fossil Gas
2026-01-01 14:30:00,GB,186.76,Fossil Gas
2026-01-01 15:00:00,GB,188.766,Fossil Gas
2026-01-01 15:30:00,GB,191.01,Fossil Gas
2026-01-01 16:00:00,GB,195.288,Fossil Gas
2026-01-01 16:30:00,GB,189.892,Fossil Gas
2026-01-01 17:00:00,GB,183.915,Fossil Gas
2026-01-01 17:30:00,GB,186.322,Fossil Gas
2026-01-01 18:00:00,GB,189.372,Fossil Gas
2026-01-01 18:30:00,GB,188.928,Fossil Gas
2026-01-01 19:00:00,GB,181.707,Fossil Gas
2026-01-01 19:30:00,GB,185.542,Fossil Gas
2026-01-01 20:00:00,GB,183.947,Fossil Gas
2026-01-01 20:30:00,GB,184.403,Fossil Gas
2026-01-01 21:00:00,GB,182.037,Fossil Gas
2026-01-01 21:30:00,GB,189.303,Fossil Gas
2026-01-01 22:00:00,GB,182.748,Fossil Gas
2026-01-01 22:30:00,GB,182.228,Fossil Gas
2026-01-01 23:00:00,GB,195.609,Fossil Gas
2026-01-01 23:30:00,GB,193.431,Fossil Gas
2026-01-02 00:00:00,GB,194.593,Fossil Gas
2026-01-02 00:30:00,GB,184.541,Fossil Gas
2026-01-02 01:00:00,GB,193.947,Fossil Gas
2026-01-02 01:30:00,GB,191.427,Fossil Gas
2026-01-02 02:00:00,GB,189.505,Fossil Gas
2026-01-02 02:30:00,GB,195.444,Fossil Gas
2026-01-02 03:00:00,GB,191.613,Fossil Gas
2026-01-02 03:30:00,GB,188.567,Fossil Gas
2026-01-02 04:00:00,GB,191.645,Fossil Gas
2026-01-02 04:30:00,GB,195.903,Fossil Gas
2026-01-02 05:00:00,GB,193.203,Fossil Gas
2026-01-02 05:30:00,GB,183.448,Fossil Gas
2026-01-02 06:00:00,GB,190.392,Fossil Gas
2026-01-02 06:30:00,GB,187.415,Fossil Gas
2026-01-02 07:00:00,GB,189.647,Fossil Gas
2026-01-02 07:30:00,GB,181.434,Fossil Gas
2026-01-02 08:00:00,GB,187.672,Fossil Gas
2026-01-02 08:30:00,GB,185.329,Fossil Gas
2026-01-02 09:00:00,GB,188.565,Fossil Gas
2026-01-02 09:30:00,GB,186.348,Fossil Gas
2026-01-02 10:00:00,GB,187.502,Fossil Gas
2026-01-02 10:30:00,GB,184.861,Fossil Gas
2026-01-02 11:00:00,GB,191.746,Fossil Gas
2026-01-02 11:30:00,GB,186.557,Fossil Gas
2026-01-02 12:00:00,GB,185.107,Fossil Gas
