timestamp_local,timestamp_utc,hour,day_of_week,month,weekend_flag,season,daylight_flag,mean_temperature,population_weighted_temperature,mean_wind_speed,wind_capacity_weighted_wind_speed,mean_cloud_cover,national_solar_irradiance,total_precipitation,heating_degree,cooling_degree,wind_speed_squared,wind_speed_cubed,temperature_lag_1h,temperature_lag_6h,wind_speed_lag_1h,total_electricity_consumption_mw,total_electricity_generation_mw,wind_generation_mw,solar_generation_mw,gas_generation_mw,other_generation_mw,renewable_generation_mw,renewable_generation_percentage,net_exports_mw,consumption_lag_1h,consumption_lag_24h,random_control
2022-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,0,5,1,1,winter,0,1.28,1.19,7.94,8.6,63.0,0.0,0.58,14.31,0.0,73.905,635.346,1.57,4.07,8.48,3964.7,3985.5,1346.9,0.0,2071.1,567.5,1346.9,33.8,20.8,4396.2,4061.7,-0.51891
2022-01-01T01:00:00+00:00,2022-01-01T01:00:00+00:00,1,5,1,1,winter,0,1.64,1.57,8.22,8.92,61.83,0.0,0.53,13.93,0.0,79.647,710.807,1.19,3.57,8.6,3676.1,3717.4,1553.2,0.0,1593.1,571.1,1553.2,41.78,41.3,3964.7,4049.0,-0.21422
2022-01-01T02:00:00+00:00,2022-01-01T02:00:00+00:00,2,5,1,1,winter,0,0.57,0.46,8.11,8.69,61.47,0.0,2.38,15.04,0.0,75.457,655.465,1.57,2.9,8.92,3760.9,3745.6,1436.1,0.0,1732.7,576.8,1436.1,38.34,-15.3,3676.1,3926.0,0.46331
2022-01-01T03:00:00+00:00,2022-01-01T03:00:00+00:00,3,5,1,1,winter,0,0.15,-0.02,9.8,10.48,59.15,0.0,2.75,15.52,0.0,109.749,1149.738,0.46,2.69,8.69,3713.4,3842.0,2370.6,0.0,882.2,589.2,2370.6,61.7,128.6,3760.9,3887.3,-0.14404
2022-01-01T04:00:00+00:00,2022-01-01T04:00:00+00:00,4,5,1,1,winter,0,-0.08,-0.28,8.76,9.26,61.33,0.0,3.3,15.78,0.0,85.692,793.251,-0.02,2.18,10.48,3832.9,3935.0,1655.3,0.0,1666.3,613.4,1655.3,42.07,102.1,3713.4,4013.0,-0.44085
2022-01-01T05:00:00+00:00,2022-01-01T05:00:00+00:00,5,5,1,1,winter,0,0.18,-0.03,8.75,9.24,56.22,0.0,0.0,15.53,0.0,85.442,789.786,-0.28,1.57,9.26,4136.6,4113.6,1606.8,0.0,1904.1,602.7,1606.8,39.06,-23.0,3832.9,4161.5,-0.69955
2022-01-01T06:00:00+00:00,2022-01-01T06:00:00+00:00,6,5,1,1,winter,0,0.53,0.37,8.46,8.81,56.77,0.0,2.43,15.13,0.0,77.695,684.846,-0.03,1.19,9.24,4317.6,4403.9,1327.0,0.0,2446.6,630.3,1327.0,30.13,86.3,4136.6,4443.0,0.60881
2022-01-01T07:00:00+00:00,2022-01-01T07:00:00+00:00,7,5,1,1,winter,0,1.26,1.11,7.7,8.0,52.77,0.0,1.59,14.39,0.0,64.014,512.173,0.37,1.57,8.81,4491.9,4543.0,992.2,0.0,2940.1,610.7,992.2,21.84,51.1,4317.6,4674.0,0.90458
2022-01-01T08:00:00+00:00,2022-01-01T08:00:00+00:00,8,5,1,1,winter,0,1.54,1.57,8.11,8.46,50.62,0.0,0.0,13.93,0.0,71.555,605.281,1.11,0.46,8.0,4581.3,4573.4,1157.6,0.0,2800.0,615.8,1157.6,25.31,-7.9,4491.9,4771.6,0.91654
2022-01-01T09:00:00+00:00,2022-01-01T09:00:00+00:00,9,5,1,1,winter,1,1.8,1.84,7.83,8.2,47.92,5.21,0.45,13.66,0.0,67.238,551.348,1.57,-0.02,8.46,4582.1,4505.1,1092.7,4.2,2802.0,606.2,1096.9,24.35,-77.0,4581.3,4644.2,-3.03088
2022-01-01T10:00:00+00:00,2022-01-01T10:00:00+00:00,10,5,1,1,winter,1,2.27,2.37,7.53,7.92,49.17,40.01,0.0,13.13,0.0,62.764,497.245,1.84,-0.28,8.2,4440.9,4323.0,1027.1,34.8,2667.2,593.9,1061.9,24.56,-117.9,4582.1,4441.9,-0.18207
2022-01-01T11:00:00+00:00,2022-01-01T11:00:00+00:00,11,5,1,1,winter,1,2.72,2.85,8.35,8.67,52.67,60.67,1.39,12.65,0.0,75.176,651.805,2.37,-0.03,7.92,4362.3,4306.6,1319.1,53.2,2303.6,630.7,1372.3,31.87,-55.7,4440.9,4402.0,-0.6556
2022-01-01T12:00:00+00:00,2022-01-01T12:00:00+00:00,12,5,1,1,winter,1,3.21,3.33,7.04,7.29,55.3,72.22,1.21,12.17,0.0,53.118,387.134,2.85,0.37,8.67,4230.8,4053.7,800.9,61.8,2578.1,612.9,862.7,21.28,-177.1,4362.3,4353.1,-1.04807
2022-01-01T13:00:00+00:00,2022-01-01T13:00:00+00:00,13,5,1,1,winter,1,3.16,3.34,7.37,7.65,56.23,73.23,0.0,12.16,0.0,58.541,447.908,3.33,1.11,7.29,4300.7,4279.8,1017.7,65.5,2600.8,595.8,1083.2,25.31,-20.9,4230.8,4398.8,-0.25253
2022-01-01T14:00:00+00:00,2022-01-01T14:00:00+00:00,14,5,1,1,winter,1,3.69,3.99,7.18,7.43,55.48,61.78,2.95,11.51,0.0,55.206,410.189,3.34,1.57,7.65,4301.9,4281.8,891.1,53.9,2755.9,580.9,945.0,22.07,-20.1,4300.7,4388.5,-0.01541
2022-01-01T15:00:00+00:00,2022-01-01T15:00:00+00:00,15,5,1,1,winter,1,3.84,4.03,6.99,7.26,61.02,34.47,4.12,11.47,0.0,52.766,383.29,3.99,1.84,7.43,4474.3,4438.1,817.9,29.1,2978.1,613.0,847.0,19.08,-36.2,4301.9,4588.4,-0.60041
2022-01-01T16:00:00+00:00,2022-01-01T16:00:00+00:00,16,5,1,1,winter,1,3.98,4.2,7.09,7.35,65.02,6.63,0.0,11.3,0.0,53.973,396.515,4.03,2.37,7.26,4661.0,4542.2,805.7,5.4,3094.7,636.4,811.1,17.86,-118.8,4474.3,4752.3,-1.10681
2022-01-01T17:00:00+00:00,2022-01-01T17:00:00+00:00,17,5,1,1,winter,0,4.58,4.75,6.28,6.43,61.58,0.0,3.87,10.75,0.0,41.353,265.922,4.2,2.85,7.35,4737.1,4618.1,581.2,0.0,3417.5,619.4,581.2,12.59,-119.0,4661.0,4876.7,0.17385
2022-01-01T18:00:00+00:00,2022-01-01T18:00:00+00:00,18,5,1,1,winter,0,3.71,3.86,7.32,7.51,59.77,0.0,2.0,11.64,0.0,56.372,423.243,4.75,3.33,6.43,4794.8,4781.4,871.7,0.0,3286.7,623.0,871.7,18.23,-13.4,4737.1,5143.5,0.16343
2022-01-01T19:00:00+00:00,2022-01-01T19:00:00+00:00,19,5,1,1,winter,0,2.86,3.0,7.66,7.77,62.95,0.0,8.55,12.5,0.0,60.413,469.568,3.86,3.34,7.51,4779.3,4739.3,969.8,0.0,3126.2,643.3,969.8,20.46,-40.0,4794.8,4933.9,-0.81312
